,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,primary_title,original_title,start_year,genres,ROI
540,"Dec 25, 2014",Unbroken,65000000,115637895,163527824,2014,Dec,Unbroken,Unbroken,2018,Drama,251.6
542,"Nov 5, 2010",Due Date,65000000,100539043,211739043,2010,Nov,Due Date,Due Date,2010,"Adventure,Comedy",325.8
543,"Dec 19, 2014",Annie,65000000,85911262,139829625,2014,Dec,Annie,Annie,2014,"Comedy,Drama,Family",215.1
551,"May 16, 2012",The Dictator,65000000,59650222,180148897,2012,May,The Dictator,The Dictator,2012,Comedy,277.2
552,"Feb 17, 2012",This Means War,65000000,54760791,156974557,2012,Feb,This Means War,This Means War,2012,"Action,Comedy,Romance",241.5
553,"Feb 27, 2015",Focus,65000000,53862963,168065700,2015,Feb,Focus,Focus,2015,"Comedy,Crime,Drama",258.6
556,"Sep 18, 2015",Everest,65000000,43482270,221297061,2015,Sep,Everest,Everest,2015,"Action,Adventure,Biography",340.5
557,"Sep 14, 2012",Resident Evil: Retribution,65000000,42345531,240647629,2012,Sep,Resident Evil: Retribution,Resident Evil: Retribution,2012,"Action,Horror,Sci-Fi",370.2
569,"Apr 1, 2011",Hop,63000000,108085305,188657593,2011,Apr,Hop,Hop,2011,"Adventure,Animation,Comedy",299.5
571,"Dec 25, 2015",The Hateful Eight,62000000,54117416,147864886,2015,Dec,The Hateful Eight,The Hateful Eight,2015,"Crime,Drama,Mystery",238.5
572,"Oct 3, 2014",Gone Girl,61000000,167767189,368567189,2014,Oct,Gone Girl,Gone Girl,2014,"Drama,Mystery,Thriller",604.2
573,"Sep 18, 2015",Maze Runner: The Scorch Trials,61000000,81697192,310566162,2015,Sep,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,2015,"Action,Sci-Fi,Thriller",509.1
574,"Aug 2, 2013",2 Guns,61000000,75612460,132493015,2013,Aug,2 Guns,2 Guns,2013,"Action,Comedy,Crime",217.2
575,"Feb 7, 2014",The Lego Movie,60000000,257784718,457729388,2014,Feb,The Lego Movie,The Lego Movie,2014,"Action,Adventure,Animation",762.9
576,"Sep 9, 2016",Sully,60000000,125070033,238524556,2016,Sep,Sully,Sully,2016,"Biography,Drama",397.5
577,"Oct 15, 2010",Red,60000000,90380162,196439693,2010,Oct,Red,Red,2014,Thriller,327.4
582,"Aug 13, 2010",Eat Pray Love,60000000,80574010,206598789,2010,Aug,Eat Pray Love,Eat Pray Love,2010,"Drama,Romance",344.3
583,"Dec 21, 2012",Jack Reacher,60000000,80070736,217370736,2012,Dec,Jack Reacher,Jack Reacher,2012,"Action,Crime,Thriller",362.3
584,"Sep 9, 2011",Contagion,60000000,75658097,137551594,2011,Sep,Contagion,Contagion,2011,"Action,Drama,Thriller",229.3
585,"Mar 4, 2016",London Has Fallen,60000000,62524260,195194085,2016,Mar,London Has Fallen,London Has Fallen,2016,"Action,Thriller",325.3
588,"Oct 21, 2016",Jack Reacher: Never Go Back,60000000,58697076,159946489,2016,Oct,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016,"Action,Thriller",266.6
589,"May 25, 2017",Baywatch,60000000,58060186,175863783,2017,May,Baywatch,Baywatch,2017,"Action,Comedy,Crime",293.1
601,"Jan 17, 2014",Jack Ryan: Shadow Recruit,60000000,50577412,131377412,2014,Jan,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,2014,"Action,Drama,Thriller",219.0
608,"Apr 7, 2017",Smurfs: The Lost Village,60000000,45020282,197578586,2017,Apr,Smurfs: The Lost Village,Smurfs: The Lost Village,2017,"Adventure,Animation,Comedy",329.3
634,"Feb 12, 2016",Deadpool,58000000,363070709,801025593,2016,Feb,Deadpool,Deadpool,2016,"Action,Adventure,Comedy",1381.1
635,"Dec 25, 2014",American Sniper,58000000,350126372,547326372,2014,Dec,American Sniper,American Sniper,2014,"Action,Biography,Drama",943.7
636,"Oct 16, 2015",Goosebumps,58000000,80069458,158905324,2015,Oct,Goosebumps,Goosebumps,2015,"Adventure,Comedy,Family",274.0
644,"Sep 10, 2010",Resident Evil: Afterlife,57500000,60128566,295874190,2010,Sep,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,"Action,Adventure,Horror",514.6
646,"Feb 17, 2012",Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,2012,Feb,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2011,"Action,Fantasy,Thriller",261.8
647,"Dec 25, 2014",Into the Woods,56200000,128002372,213116401,2014,Dec,Into the Woods,Into the Woods,2014,"Adventure,Comedy,Drama",379.2
651,"Nov 2, 2018",Bohemian Rhapsody,55000000,216303339,894985342,2018,Nov,Bohemian Rhapsody,Bohemian Rhapsody,2018,"Biography,Drama,Music",1627.2
652,"Feb 11, 2005",Hitch,55000000,177784257,366784257,2005,Feb,Hitch,Hitch,2012,Drama,666.9
653,"Feb 10, 2017",Fifty Shades Darker,55000000,114434010,381398492,2017,Feb,Fifty Shades Darker,Fifty Shades Darker,2017,"Drama,Romance",693.5
654,"Oct 11, 2013",Captain Phillips,55000000,107136417,220648184,2013,Oct,Captain Phillips,Captain Phillips,2013,"Biography,Drama,Thriller",401.2
655,"Nov 10, 2017",Murder on the Orient Express,55000000,102826543,345922730,2017,Nov,Murder on the Orient Express,Murder on the Orient Express,2017,"Crime,Drama,Mystery",629.0
656,"Sep 26, 2014",The Equalizer,55000000,101530738,192903624,2014,Sep,The Equalizer,The Equalizer,2014,"Action,Crime,Thriller",350.7
657,"Feb 9, 2018",Fifty Shades Freed,55000000,100407760,371350619,2018,Feb,Fifty Shades Freed,Fifty Shades Freed,2018,"Drama,Romance,Thriller",675.2
658,"Apr 9, 2010",Date Night,55000000,98711404,152269033,2010,Apr,Date Night,Date Night,2010,"Comedy,Crime,Romance",276.9
659,"Jan 16, 2015",Paddington,55000000,76223578,258789097,2015,Jan,Paddington,Paddington,2014,"Adventure,Comedy,Family",470.5
660,"Nov 1, 2013",Free Birds,55000000,55750480,110387072,2013,Nov,Free Birds,Free Birds,2013,"Adventure,Animation,Comedy",200.7
674,"Apr 27, 2012",The Pirates! Band of Misfits,55000000,31051126,136143605,2012,Apr,The Pirates! Band of Misfits,The Pirates! In an Adventure with Scientists!,2012,"Adventure,Animation,Comedy",247.5
676,"Jun 16, 2000",Shaft,53012938,70327868,107190108,2000,Jun,Shaft,Shaft,2019,"Action,Comedy,Crime",202.2
679,"May 18, 2001",Moulin Rouge,53000000,57386369,179200588,2001,May,Moulin Rouge,Mûran rûju no seishun,2011,Documentary,338.1
680,"Dec 19, 2012",Zero Dark Thirty,52500000,95720716,134612435,2012,Dec,Zero Dark Thirty,Zero Dark Thirty,2012,"Drama,Thriller",256.4
681,"Feb 12, 2010",Valentine's Day,52000000,110485654,217569328,2010,Feb,Valentine's Day,Valentine's Day,2010,"Comedy,Romance",418.4
687,"Mar 4, 2011",The Adjustment Bureau,50200000,62495645,126931325,2011,Mar,The Adjustment Bureau,The Adjustment Bureau,2011,"Romance,Sci-Fi,Thriller",252.9
688,"Jun 29, 2012",Ted,50000000,218665740,556016627,2012,Jun,Ted,Ted,2012,"Comedy,Fantasy",1112.0
689,"Jun 13, 2014",22 Jump Street,50000000,191719337,331333876,2014,Jun,22 Jump Street,22 Jump Street,2014,"Action,Comedy,Crime",662.7
690,"Jun 17, 2016",Central Intelligence,50000000,127440871,217194805,2016,Jun,Central Intelligence,Central Intelligence,2016,"Action,Comedy,Crime",434.4
691,"Dec 18, 2013",Anchorman 2: The Legend Continues,50000000,127352707,172185754,2013,Dec,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013,Comedy,344.4
692,"Jun 10, 2011",Super 8,50000000,127004179,257972745,2011,Jun,Super 8,Super 8,2011,"Mystery,Sci-Fi,Thriller",515.9
693,"Nov 21, 2018",Creed II,50000000,115715889,213591522,2018,Nov,Creed II,Creed II,2018,"Drama,Sport",427.2
694,"Feb 9, 2018",Peter Rabbit,50000000,115234093,347136477,2018,Feb,Peter Rabbit,Peter Rabbit,2018,"Adventure,Animation,Comedy",694.3
695,"Dec 14, 2018",The Mule,50000000,103804407,170857676,2018,Dec,The Mule,La mula,2013,"Comedy,Drama",341.7
698,"Feb 28, 2014",Non-Stop,50000000,91742160,222383055,2014,Feb,Non-Stop,Non-Stop,2014,"Action,Mystery,Thriller",444.8
699,"Jul 28, 2017",The Emoji Movie,50000000,86089513,216562312,2017,Jul,The Emoji Movie,The Emoji Movie,2017,"Adventure,Animation,Comedy",433.1
700,"Dec 22, 2017",The Post,50000000,81903458,179748880,2017,Dec,The Post,The Post,2017,"Biography,Drama,History",359.5
701,"Dec 23, 2011",We Bought a Zoo,50000000,75624550,118729073,2011,Dec,We Bought a Zoo,We Bought a Zoo,2011,"Comedy,Drama,Family",237.5
702,"Sep 23, 2011",Moneyball,50000000,75605492,111300835,2011,Sep,Moneyball,Moneyball,2011,"Biography,Drama,Sport",222.6
703,"Sep 24, 2004",The Forgotten,50000000,66711892,117211892,2004,Sep,The Forgotten,The Forgotten,2014,Horror,234.4
705,"Apr 6, 2012",American Reunion,50000000,56758835,236799211,2012,Apr,American Reunion,American Reunion,2012,Comedy,473.6
706,"Jan 25, 2013",Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,2013,Jan,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,2013,"Action,Fantasy,Horror",429.9
707,"Sep 29, 2017",American Made,50000000,51342000,135569212,2017,Sep,American Made,American Made,2017,"Action,Biography,Comedy",271.1
711,"Aug 8, 2014",Into the Storm,50000000,47602194,150429371,2014,Aug,Into the Storm,Into the Storm,2019,Documentary,300.9
721,"Oct 15, 2010",Hereafter,50000000,32746941,108660270,2010,Oct,Hereafter,Hereafter,2010,"Drama,Fantasy,Romance",217.3
752,"Mar 6, 2015",Chappie,49000000,31569268,105002056,2015,Mar,Chappie,Chappie,2015,"Action,Crime,Drama",214.3
755,"Oct 18, 2002",The Ring,48000000,129094024,248218486,2002,Oct,The Ring,The Ring,2017,,517.1
756,"Dec 27, 2000",Traffic,48000000,124107476,208300000,2000,Dec,Traffic,Traffic,2011,"Action,Adventure,Mystery",434.0
759,"Mar 29, 2002",Panic Room,48000000,95308367,196308367,2002,Mar,Panic Room,Panic Room,2016,"Action,Drama,Mystery",409.0
760,"Jan 9, 2015",Taken 3,48000000,89256424,327656424,2015,Jan,Taken 3,Taken 3,2014,"Action,Thriller",682.6
761,"Nov 16, 2018",Instant Family,48000000,67363237,119736188,2018,Nov,Instant Family,Instant Family,2018,"Comedy,Drama",249.5
762,"Jan 22, 2010",Tooth Fairy,48000000,60022256,112610386,2010,Jan,Tooth Fairy,Tooth Fairy,2010,"Comedy,Family,Fantasy",234.6
764,"Jan 25, 2008",Rambo,47500000,42754105,112214531,2008,Jan,Rambo,Rambo,2012,"Comedy,Drama,Thriller",236.2
766,"Nov 11, 2016",Arrival,47000000,100546139,203127894,2016,Nov,Arrival,Arrival,2016,"Drama,Mystery,Sci-Fi",432.2
768,"Apr 22, 2009",Earth,47000000,32011576,116773317,2009,Apr,Earth,Earth,2015,Sci-Fi,248.5
784,"May 24, 2002",Insomnia,46000000,67263182,113622499,2002,May,Insomnia,Insomnia,2015,Drama,247.0
785,"Sep 20, 2013",Prisoners,46000000,61002302,113402302,2013,Sep,Prisoners,Prisoners,2013,"Crime,Drama,Mystery",246.5
786,"Oct 5, 2012",Taken 2,45000000,139854287,377807404,2012,Oct,Taken 2,Taken 2,2012,"Action,Thriller",839.6
787,"Dec 22, 2017",Pitch Perfect 3,45000000,104897530,185736412,2017,Dec,Pitch Perfect 3,Pitch Perfect 3,2017,"Comedy,Music",412.7
788,"Dec 25, 2007",The Bucket List,45000000,93466502,174807445,2007,Dec,The Bucket List,The Bucket List,2018,"Adventure,Comedy",388.5
789,"Nov 23, 2011",The Muppets,45000000,88625922,160971922,2011,Nov,The Muppets,The Muppets,2011,"Adventure,Comedy,Family",357.7
790,"Oct 7, 2016",The Girl on the Train,45000000,75395035,174278214,2016,Oct,The Girl on the Train,The Girl on the Train,2013,Thriller,387.3
793,"Mar 19, 2010",The Bounty Hunter,45000000,67061228,135808837,2010,Mar,The Bounty Hunter,The Bounty Hunter,2010,"Action,Comedy,Romance",301.8
795,"Dec 9, 2016",Office Christmas Party,45000000,54767494,91323299,2016,Dec,Office Christmas Party,Office Christmas Party,2016,Comedy,202.9
797,"May 23, 2014",Blended,45000000,46290741,127990741,2014,May,Blended,Blended,2014,"Comedy,Romance",284.4
806,"Oct 21, 2011",Johnny English Reborn,45000000,8406711,164640401,2011,Oct,Johnny English Reborn,Johnny English Reborn,2011,"Action,Adventure,Comedy",365.9
813,"Oct 12, 2012",Argo,44500000,136025503,227140757,2012,Oct,Argo,Argo,2012,"Biography,Drama,Thriller",510.4
819,"Jun 28, 2013",The Heat,43000000,159581587,229727774,2013,Jun,The Heat,The Heat,2013,"Action,Comedy,Crime",534.3
822,"Mar 16, 2012",21 Jump Street,42000000,138447667,202812429,2012,Mar,21 Jump Street,21 Jump Street,2012,"Action,Comedy,Crime",482.9
828,"Mar 11, 2011",Red Riding Hood,42000000,37662162,91678442,2011,Mar,Red Riding Hood,Red Riding Hood,2011,"Fantasy,Horror,Mystery",218.3
833,"May 31, 2019",Rocketman,41000000,57342725,108642725,2019,May,Rocketman,Rocketman,2019,"Biography,Drama,Music",265.0
835,"Jun 11, 2010",The Karate Kid,40000000,176591618,351774938,2010,Jun,The Karate Kid,The Karate Kid,2010,"Action,Drama,Family",879.4
836,"Feb 13, 2015",Fifty Shades of Grey,40000000,166167230,570998101,2015,Feb,Fifty Shades of Grey,Fifty Shades of Grey,2015,"Drama,Romance,Thriller",1427.5
837,"Jun 19, 2009",The Proposal,40000000,163958031,314709717,2009,Jun,The Proposal,The Proposal,2018,Documentary,786.8
838,"Dec 13, 2013",American Hustle,40000000,150117807,257878294,2013,Dec,American Hustle,American Hustle,2013,"Crime,Drama",644.7
839,"Jul 25, 2014",Lucy,40000000,126573960,457507776,2014,Jul,Lucy,Lucy,2014,"Action,Sci-Fi,Thriller",1143.8
842,"Dec 25, 2013",Lone Survivor,40000000,125095601,149804632,2013,Dec,Lone Survivor,Lone Survivor,2013,"Action,Biography,Drama",374.5
843,"Oct 1, 2010",The Social Network,40000000,96962694,224922135,2010,Oct,The Social Network,The Social Network,2010,"Biography,Drama",562.3
844,"Jan 15, 2016",Ride Along 2,40000000,90862685,124827316,2016,Jan,Ride Along 2,Ride Along 2,2016,"Action,Comedy,Crime",312.1
845,"Mar 27, 2015",Get Hard,40000000,90411453,106511453,2015,Mar,Get Hard,Get Hard,2015,"Comedy,Crime",266.3
847,"Oct 14, 2016",The Accountant,40000000,86260045,152962083,2016,Oct,The Accountant,The Accountant,2016,"Action,Crime,Drama",382.4
848,"Nov 14, 2014",Dumb and Dumber To,40000000,86208010,156553592,2014,Nov,Dumb and Dumber To,Dumb and Dumber To,2014,"Adventure,Comedy",391.4
849,"Apr 25, 2014",The Other Woman,40000000,83911193,195111193,2014,Apr,The Other Woman,The Other Woman,2014,"Comedy,Romance",487.8
850,"Sep 25, 2015",The Intern,40000000,75764672,197115710,2015,Sep,The Intern,El pasante,2010,,492.8
852,"Oct 29, 2004",Ray,40000000,75305995,124823094,2004,Oct,Ray,Ray,2018,Crime,312.1
853,"Oct 16, 2015",Bridge of Spies,40000000,72313754,162498338,2015,Oct,Bridge of Spies,Bridge of Spies,2015,"Drama,History,Thriller",406.2
854,"Nov 4, 2016",Hacksaw Ridge,40000000,67209615,168904682,2016,Nov,Hacksaw Ridge,Hacksaw Ridge,2016,"Biography,Drama,History",422.3
855,"Feb 18, 2011",Unknown,40000000,63686397,136123083,2011,Feb,Unknown,Unknown,2011,"Action,Mystery,Thriller",340.3
863,"Jun 4, 2010",Get Him to the Greek,40000000,61153526,91455875,2010,Jun,Get Him to the Greek,Get Him to the Greek,2010,"Adventure,Comedy,Music",228.6
864,"Mar 18, 2011",The Lincoln Lawyer,40000000,58009200,87145086,2011,Mar,The Lincoln Lawyer,The Lincoln Lawyer,2011,"Crime,Drama,Thriller",217.9
866,"Nov 26, 2014",Horrible Bosses 2,40000000,54445357,105945357,2014,Nov,Horrible Bosses 2,Horrible Bosses 2,2014,"Comedy,Crime",264.9
867,"Jul 9, 2010",Predators,40000000,52000688,127234389,2010,Jul,Predators,Predators,2010,"Action,Adventure,Sci-Fi",318.1
870,"Aug 12, 2011",Final Destination 5,40000000,42587643,155011165,2011,Aug,Final Destination 5,Final Destination 5,2011,Horror,387.5
874,"Jul 18, 2014",Sex Tape,40000000,38543473,126069509,2014,Jul,Sex Tape,Sex Tape,2014,"Comedy,Romance",315.2
875,"Apr 15, 2011",Scream 4,40000000,38180928,95989590,2011,Apr,Scream 4,Scream 4,2011,"Horror,Mystery",240.0
876,"Mar 18, 2011",Paul,40000000,37412945,101162106,2011,Mar,Paul,Paul,2011,"Adventure,Comedy,Sci-Fi",252.9
880,"Jan 12, 2018",The Commuter,40000000,36343858,101985431,2018,Jan,The Commuter,The Commuter,2018,"Action,Mystery,Thriller",255.0
889,"Jan 27, 2017",Resident Evil: The Final Chapter,40000000,26844692,314101190,2017,Jan,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,2016,"Action,Horror,Sci-Fi",785.3
897,"Jan 7, 2011",Season of the Witch,40000000,24827228,91126600,2011,Jan,Season of the Witch,Season of the Witch,2011,"Action,Adventure,Fantasy",227.8
898,"Aug 26, 2016",Mechanic: Resurrection,40000000,21218403,109738840,2016,Aug,Mechanic: Resurrection,Mechanic: Resurrection,2016,"Action,Adventure,Thriller",274.3
900,"Dec 21, 2012",The Impossible,40000000,19019882,169590606,2012,Dec,The Impossible,Lo imposible,2012,"Drama,History,Thriller",424.0
914,"Jun 27, 2014",Snowpiercer,40000000,4563029,88069880,2014,Jun,Snowpiercer,Snowpiercer,2013,"Action,Drama,Sci-Fi",220.2
925,"Oct 5, 2012",Frankenweenie,39000000,35287788,81150788,2012,Oct,Frankenweenie,Frankenweenie,2012,"Animation,Comedy,Family",208.1
930,"Jun 2, 2017",Captain Underpants: The First Epic Movie,38000000,73921000,126577874,2017,Jun,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,2017,"Action,Animation,Comedy",333.1
931,"Apr 17, 2015",Paul Blart: Mall Cop 2,38000000,71091594,107650646,2015,Apr,Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,2015,"Action,Comedy,Crime",283.3
932,"Dec 23, 2016",Why Him?,38000000,60323786,117425156,2016,Dec,Why Him?,Why Him?,2016,Comedy,309.0
933,"Apr 22, 2011",Water for Elephants,38000000,58709717,116809717,2011,Apr,Water for Elephants,Water for Elephants,2011,"Drama,Romance",307.4
934,"Oct 8, 2010",Life as We Know It,38000000,53374681,105887837,2010,Oct,Life as We Know It,Life as We Know It,2010,"Comedy,Drama,Romance",278.7
936,"Sep 6, 2013",Riddick,38000000,42025135,94763758,2013,Sep,Riddick,Riddick,2013,"Action,Adventure,Sci-Fi",249.4
939,"Jan 22, 2016",The 5th Wave,38000000,34912982,111336398,2016,Jan,The 5th Wave,The 5th Wave,2016,"Action,Adventure,Drama",293.0
943,"Sep 20, 2013",Rush,38000000,26947624,98230839,2013,Sep,Rush,Rush,2013,"Action,Biography,Drama",258.5
953,"Jan 11, 2019",The Upside,37500000,108235497,119024536,2019,Jan,The Upside,The Upside,2017,"Comedy,Drama",317.4
954,"May 18, 2012",What to Expect When You're Expecting,37500000,41152203,88473016,2012,May,What to Expect When You're Expecting,What to Expect When You're Expecting,2012,"Comedy,Drama,Romance",235.9
960,"Nov 21, 2008",Twilight,37000000,192769854,402280159,2008,Nov,Twilight,Twilight,2018,Documentary,1087.2
961,"Aug 7, 2013",We're the Millers,37000000,150394119,267816276,2013,Aug,We're the Millers,We're the Millers,2013,"Comedy,Crime",723.8
962,"Nov 25, 2015",Creed,37000000,109767581,173567581,2015,Nov,Creed,Creed,2010,Horror,469.1
965,"Sep 17, 2010",The Town,37000000,92186262,152566881,2010,Sep,The Town,The Town,2010,"Crime,Drama,Thriller",412.3
967,"Sep 23, 2011",Dolphin Tale,37000000,72286779,96068724,2011,Sep,Dolphin Tale,Dolphin Tale,2011,"Drama,Family",259.6
968,"Feb 23, 2018",Game Night,37000000,69179066,117378084,2018,Feb,Game Night,Game Night,2012,Comedy,317.2
971,"Jan 28, 2011",The Rite,37000000,33047633,97143987,2011,Jan,The Rite,The Rite,2011,"Drama,Horror,Mystery",262.6
973,"Oct 5, 2018",A Star is Born,36000000,215288866,433449571,2018,Oct,A Star is Born,Zvezda je rodena,2010,"Documentary,Music",1204.0
